Description,Supplier,URL,Entity,Expense Type,Transaction Number,Amount,Expense Area,Date,Departmental Family
 Payment for the delivery of Funding Central website,NCVO,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,IT Costs,3000018178,"92,671.25",OFFICE FOR CIVIL SOCIETY,19/07/2011,Cabinet Office
Research project to baseline the completeness and accuracy of the electoral registers in 2011,ELECTORAL COMMISSION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Consultancy,3000018175,"104,400.00",POLITICAL AND CONSTITUTIONAL REFORM,19/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20373,"174,195.39",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,Handsets,PINMTS 20373,"25,378.25",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20374,"40,917.48",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20375,"38,670.91",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20378,"846,045.76",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,Handsets,PINMTS 20378,"41,250.00",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20379,"137,152.54",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20380,"35,219.62",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20385,"95,568.67",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20387,"98,975.12",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,Call Charges Std,PINMTS 20406,"42,692.37",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20447,"52,787.26",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20448,"88,152.49",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20449,"114,600.58",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20451,"31,386.07",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20453,"39,081.04",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20459,"58,551.60",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20462,"60,507.93",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20466,"31,408.90",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20467,"162,662.35",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,Handsets,PINMTS 20467,"43,852.00",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20468,"178,874.45",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20469,"73,238.60",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20471,"345,602.08",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,Handsets,PINMTS 20471,"48,020.50",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20477,"30,407.95",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20479,"125,863.13",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,Handsets,PINMTS 20479,"35,852.00",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20481,"37,606.64",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20482,"97,541.89",Network Services,20/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,Peripherals,PINMTS 20485,"244,146.26",Network Services,20/07/2011,Cabinet Office
"Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",ADVALUS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Consultancy,3000018208,"100,157.00",GOVERNMENT CIO,21/07/2011,Cabinet Office
Monitoring services provided by the BBC,BBC MONITORING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Supplies and Services,3000018209,"1,808,333.33",INTELLIGENCE SECURITY AND RESILIENCE,21/07/2011,Cabinet Office
Security costs for government secure intranet,CESG,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,GSI COS,PINDOH 33123,"140,503.00",Network Services,21/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,SAP Rental,PINMTS 20487,"440,251.19",Network Services,22/07/2011,Cabinet Office
Fast-stream recruitment,PARITY SOLUTIONS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Other Staff Related Costs,3000018289,"122,765.89",ERG STRATEGY AND MANAGEMENT INFORMATION,25/07/2011,Cabinet Office
"Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",CAPITA RESOURCING LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Consultancy,3000018313,"60,795.96",GOVERNMENT CIO,26/07/2011,Cabinet Office
Whitehall heating systems management,Cofely,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,WDHS Maint & Rep,PINDOH 33089,"62,514.50",WDHS,26/07/2011,Cabinet Office
Whitehall heating systems management,Cofely,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,WSDS Maint & Rep,PINDOH 33090,"39,005.82",WSDS,26/07/2011,Cabinet Office
2011/12 Treasury Solicitor Capitation costs.,TREASURY SOLICITOR TSOL,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Supplies and Services,3000018347,"82,024.00",CENTRAL BUDGETS,27/07/2011,Cabinet Office
Provision of telecommunications (Dense Wave Division Multiplex) service.,VERIZON UK LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,IT Costs,3000018349,"39,312.00",IT AND TELECOMS BRANCH,27/07/2011,Cabinet Office
Fujitsu: Change Projects ,FUJITSU SERVICES,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,IT Costs,3000018340,"153,044.80",IT AND TELECOMS BRANCH,27/07/2011,Cabinet Office
Government managed telecoms contract,Global Crossing,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Government Procurement Service,Data Services,PCROHD 935,"-104,106.53",Network Services,27/07/2011,Cabinet Office
Payment for the delivery of the Queens Award for Voluntary Service,COI CENTRAL OFFICE OF INFORMATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,GRANT FUND MANAGEMENT SERVICES,3000018363,"57,057.89",OFFICE FOR CIVIL SOCIETY,28/07/2011,Cabinet Office
 Payment for the delivery of Funding Central website,NCVO,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,IT Costs,3000018377,"92,671.25",OFFICE FOR CIVIL SOCIETY,28/07/2011,Cabinet Office
"Payment to Ministry of Justice for costs incurred by Constitutiional Reform during 2010-11 following the MOG transfer to CO, until they transferred onto CO accountancy systems",MINISTRY OF JUSTICE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,MOGS Transfer of Functions,3000018401,"6,193,481.09",CABINET OFFICE MISC,29/07/2011,Cabinet Office
Professional Services,PWC,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Consultancy,3000018402,"253,114.27",CIVIL SERVICE PENSIONS,29/07/2011,Cabinet Office
National Citizen Service project grant,YOUNG DEVON,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,"Voluntary, Community and Social Enterprise Sector",3000018407,"414,151.00",OFFICE FOR CIVIL SOCIETY,29/07/2011,Cabinet Office
National Citizen Service project grant,THE FOOTBALL LEAGUE COMMUNITY LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-june-2011_0.csv,Cabinet Office,Resource Grants to Private Sector,3000018406,"655,160.00",OFFICE FOR CIVIL SOCIETY,29/07/2011,Cabinet Office
